participant,repetition,start time,end time,hand coordination,hand delay,eye coordination,eye delay,overall coordination,overall delay
1,1,0,1,47.83426526035374,269.85999999999996,66.68087855916104,104.20999999999998,54.73662207463277,147.1
1,1,1,2,70.29153765761279,10.019999999999959,69.98830520391861,47.639999999999965,64.91971245945084,-61.21
1,1,2,3,70.29153765761279,10.019999999999959,69.45131082953517,37.86999999999996,66.13164780173385,-45.70000000000001
1,1,3,4,69.43128590870847,35.41999999999996,69.56106557981673,10.019999999999959,60.348335268210604,78.96000000000001
1,1,4,5,24.55089770655096,2101.0899999999997,24.246542011260765,2101.0899999999997,62.896805470320636,58.349999999999994
1,1,5,6,70.29153765761279,10.019999999999959,69.63894739744015,29.09999999999997,54.73228823052918,-169.87000000000003
1,1,6,7,70.29153765761279,10.019999999999959,63.71411235937033,86.97999999999998,64.60745827674803,-62.339999999999996
1,1,7,8,70.29153765761279,10.019999999999959,69.45379954526449,37.94999999999996,64.87227374911687,-53.98999999999999
1,1,8,9,70.29153765761279,10.019999999999959,69.76491223166447,12.74999999999996,65.55158438596477,-19.94
1,1,9,10,69.04450921294763,44.42999999999997,69.9385677724145,45.129999999999974,66.5635828733245,3.89
1,1,10,11,69.1434179457607,40.61999999999997,69.56106557981673,10.019999999999959,64.52255889207376,50.01000000000001
1,1,11,12,70.29153765761279,10.019999999999959,27.13536358075661,1100.3,27.273853737595054,-1100.3100000000002
1,1,12,13,70.29153765761279,10.019999999999959,69.93865050046772,45.37999999999997,64.65509066873265,-62.169999999999995
1,1,13,14,68.84895680386293,50.57999999999997,69.43836918018349,37.36999999999996,67.48040329067835,13.3
1,1,14,15,50.9907225994103,233.38999999999996,69.50075086741852,54.769999999999975,55.01116756762584,133.38000000000002
1,1,15,16,70.25669907996156,11.11999999999996,63.83333608174514,79.14999999999998,57.822502999183676,-111.69000000000003
1,1,16,17,70.29153765761279,10.019999999999959,70.09278469231569,21.13999999999996,56.647670813193315,-137.04000000000002
1,1,17,18,70.29153765761279,10.019999999999959,70.01714876625624,19.44999999999996,56.10642829122464,120.64000000000001
1,1,18,19,24.55089770655096,2101.0899999999997,24.246542011260765,2101.0899999999997,65.55382791562464,0.0
1,1,19,20,24.55089770655096,2101.0899999999997,24.246542011260765,2101.0899999999997,24.52823727203128,-2212.1899999999996
1,1,20,21,68.93307143009375,49.249999999999964,62.09839134333696,130.23,64.57245788768182,-62.98
1,1,21,22,69.17211237076769,39.849999999999966,69.146439539598,61.93999999999997,65.44704532688569,-21.390000000000008
