participant,repetition,start time,end time,hand coordination,hand delay,eye coordination,eye delay,overall coordination,overall delay
1,1,0,1,82.86827182639117,89.39,65.73407344423204,229.12,68.13480789471475,-156.04000000000002
1,1,1,2,84.37450604911702,64.36999999999999,65.69823509341083,229.31,67.34510540018614,-170.89000000000001
1,1,2,3,85.00526503396334,-4.880000000000001,68.79136170660009,-79.3,70.06995956646016,70.84
1,1,3,4,84.52101101745146,-16.98,65.38598582254753,-154.20000000000002,68.51712245251977,106.31000000000002
1,1,4,5,85.15185387737927,-0.0,66.97990615254376,-120.71000000000001,68.99816804481888,96.29
1,1,5,6,85.37307120649102,9.610000000000003,69.56585984661385,137.41000000000003,69.1151124630848,-137.41000000000003
1,1,6,7,79.23935206834759,135.19,64.053170151563,262.39,70.22579562398596,-104.41
1,1,7,8,84.76954530457644,55.85999999999999,63.673850573935994,270.85,64.18018191994751,-237.59
1,1,8,9,83.27413986974072,-39.23000000000001,69.98481185207551,-45.9,71.81694686074735,4.2700000000000005
1,1,9,10,82.77271005745098,-46.63000000000001,69.07763839157677,-70.96000000000001,71.89314743323017,12.470000000000002
1,1,10,11,78.20201885872676,-103.47000000000001,40.69235315814977,-798.5700000000002,59.093248397177334,296.14
1,1,11,12,81.81248987619834,-59.81,67.6494043127077,187.54999999999998,65.59282462277045,-212.36
1,1,12,13,83.89199295186089,-29.180000000000003,67.85247587031607,179.18,66.80516296374105,-187.44000000000003
1,1,13,14,80.13555063716932,-80.82,63.087298706015616,281.88,52.929265957860785,-469.98999999999995
1,1,14,15,84.29585938141399,-21.720000000000002,68.4104497348504,-88.02000000000001,69.03923638530297,95.58
1,1,15,16,83.06683242029685,86.56,66.59403863888853,-129.14999999999998,62.85002661544837,221.02
1,1,16,17,85.45760973503496,32.220000000000006,69.07851978101091,-70.93,68.65122599505618,104.25000000000001
1,1,17,18,85.31757236753762,7.100000000000001,71.58903692389855,45.91,71.78649037207543,-45.90000000000001
1,1,18,19,81.0622403057475,113.23000000000002,67.6538596532203,187.39000000000001,69.38547786087346,-127.90000000000002
1,1,19,20,85.11929788896938,46.900000000000006,66.14708964795045,220.99,68.27494836824854,-153.93
1,1,20,21,85.4491811926521,14.370000000000001,71.57248301121615,12.77,72.1888681317973,-12.680000000000001
1,1,21,22,84.85735083349944,-8.980000000000002,64.19734754794878,-179.14999999999998,65.38963996757707,170.86
1,1,22,23,85.42233350669528,34.100000000000016,63.331586627565365,-196.27,64.13134157677244,196.26
1,1,23,24,77.18174893498522,-115.31,71.55348282205686,13.000000000000002,71.77476466514896,-43.02000000000001
1,1,24,25,84.13346503595845,69.13000000000001,65.28812347335393,237.61,66.80157683877697,-187.54000000000002
1,1,25,26,80.77658344969882,116.70000000000002,66.52347533704815,213.12,70.27440479172763,-103.99000000000001
1,1,26,27,84.54590378372328,61.089999999999996,68.82116513460504,154.25,70.22253491999354,-104.48
1,1,27,28,85.02746057921738,-4.360000000000001,68.79474127100464,-79.22000000000001,69.77056172830765,79.25
1,1,28,29,85.49862584384475,28.770000000000007,69.08271488459195,-70.78,68.64156687559961,104.09000000000002
1,1,29,30,83.72300498750964,76.89,68.44309282316078,-87.34,65.8434544635476,162.44000000000003
1,1,0,10,94.90228344774359,16.68,88.78622510210147,70.61,88.79375832014146,-70.33
