participant,repetition,start time,end time,hand coordination,hand delay,eye coordination,eye delay,overall coordination,overall delay
1,1,0,1,47.840103759389166,269.68,66.68087855916104,104.21000000000001,54.73662207463277,147.1
1,1,1,2,65.12114632196906,-66.93,69.98830520391861,47.63999999999999,64.91971245945084,-61.21
1,1,2,3,69.01629928110053,-29.490000000000006,69.45131082953517,37.87,66.13164780173385,-45.70000000000001
1,1,3,4,69.43128590870847,35.42,70.33802139566681,-21.100000000000005,60.348335268210604,78.96000000000001
1,1,4,5,24.503733593119946,2212.1899999999996,70.71643013658655,-18.42,62.896805470320636,58.349999999999994
1,1,5,6,64.25430548931948,-73.28,69.63894739744015,29.100000000000005,54.73228823052918,-169.87000000000003
1,1,6,7,69.87046122011317,4.3100000000000005,63.71411235937033,86.98,64.60745827674803,-62.339999999999996
1,1,7,8,69.8520890660236,1.2100000000000004,69.45379954526449,37.95,64.87227374911687,-53.98999999999999
1,1,8,9,69.79057078878549,-6.820000000000001,69.76491223166447,12.750000000000002,65.55158438596477,-19.94
1,1,9,10,69.04450921294763,44.430000000000014,69.9385677724145,45.13000000000002,66.5635828733245,3.89
1,1,10,11,69.1434179457607,40.62000000000001,69.54728121429432,8.330000000000002,64.52255889207376,50.01000000000001
1,1,11,12,69.87055060481522,4.590000000000002,27.13536358075661,1100.3,27.273853737595054,-1100.3100000000002
1,1,12,13,69.0614203000723,-19.200000000000003,69.93865050046772,45.38000000000001,64.65509066873265,-62.169999999999995
1,1,13,14,68.92137440689895,49.44,69.43836918018349,37.37,67.48040329067835,13.3
1,1,14,15,50.9907225994103,233.39000000000001,69.50075086741852,54.769999999999996,55.01116756762584,133.38000000000002
1,1,15,16,69.26818405914548,-28.14,63.83333608174514,79.15,57.822502999183676,-111.69000000000003
1,1,16,17,65.2334109717813,-64.86999999999999,70.09278469231569,21.140000000000004,56.647670813193315,-137.04000000000002
1,1,17,18,65.81528927593007,-59.18999999999999,60.00001120337003,-99.43,56.10642829122464,120.64000000000001
1,1,18,19,69.85671814266199,-0.0,68.75747313909764,-0.0,65.55382791562464,0.0
1,1,19,20,24.503733593119946,2212.1899999999996,24.26876110383585,2212.1899999999996,24.52823727203128,-2212.1899999999996
1,1,20,21,68.93307143009375,49.24999999999999,62.09839134333696,130.23000000000002,64.57245788768182,-62.98
1,1,21,22,69.17211237076769,39.85000000000001,69.146439539598,61.94,65.44704532688569,-21.390000000000008
1,1,22,23,69.4414426117443,-12.430000000000001,69.76108629370812,12.720000000000002,65.61705416732873,-21.270000000000007
1,1,23,24,69.79361842697546,-5.040000000000001,70.03783833849617,21.640000000000004,66.016704288269,-28.980000000000004
1,1,24,25,64.03364544933935,106.28,69.42902420123872,-1.3899999999999997,65.31110328083602,-8.330000000000002
1,1,25,26,69.85671814266199,-0.0,63.78627428074982,78.08,60.48025550836794,-70.63000000000001
1,1,26,27,69.09658736301996,-29.050000000000004,70.03564186551947,21.440000000000005,66.08456902604772,-45.24000000000001
1,1,27,28,69.14833805970105,45.839999999999996,69.83023839588863,13.100000000000001,64.89107686639456,45.42000000000001
1,1,28,29,69.3049799246692,-27.500000000000004,69.20310848858301,-0.8900000000000001,64.55330798057173,-65.01
1,1,29,30,68.97474508252091,-31.700000000000006,70.01528548774412,46.36999999999999,60.01027324785675,-87.66
1,1,0,30,92.8653664585385,18.060000000000006,93.39683554438719,-8.340000000000002,91.99597955796021,10.830000000000004
1,2,0,1,44.09151590502069,118.35000000000001,54.5052618241527,87.72000000000001,46.50047149311961,38.32000000000001
1,2,1,2,45.429494769291274,29.300000000000008,57.44507638950373,4.44,46.7131844102204,28.010000000000005
1,2,2,3,45.23311506339127,1.2600000000000002,56.397541335960625,29.250000000000004,45.64909432703815,4.029999999999999
1,2,3,4,23.26624130814228,2212.1899999999996,36.96916281682216,-303.9700000000001,32.454029657484064,-420.98
1,2,4,5,44.26856444493629,112.52000000000001,55.863132141471894,71.18,46.73993626624901,23.050000000000008
1,2,5,6,45.32706350305002,14.640000000000004,57.451413364133444,4.61,45.65899453704924,4.18
1,2,6,7,32.166710665078654,-387.62,53.95133095486927,-95.85,41.28453228914143,-187.28
1,2,7,8,42.17252429822476,184.01999999999998,57.00928467146555,73.1,38.91000222036008,-245.90000000000003
1,2,8,9,44.706488713657315,93.59,50.01331353830303,171.07,44.45878661676519,-29.330000000000005
1,2,9,10,44.69181556427495,95.89,55.71742968751292,78.64,46.71343838742837,21.28000000000001
1,2,10,11,45.198832228581125,56.41999999999999,58.3351094060784,44.640000000000015,45.83398237432289,59.58
1,2,11,12,44.36714610449871,-46.43000000000001,58.02193655445221,13.42,44.39062748633606,-12.130000000000003
1,2,12,13,45.20084626562089,62.45,58.35786187572953,46.48,45.41295922998392,-13.130000000000003
1,2,13,14,45.4296160950358,29.160000000000004,59.30052796479431,53.75,45.072627913559785,-21.870000000000008
1,2,14,15,45.104980398823,70.84,59.29194237109914,52.79,46.30290635382411,12.32
1,2,15,16,45.37651293724496,12.020000000000001,57.43333148984612,20.26000000000001,45.610764996884214,3.4700000000000006
1,2,16,17,44.29234891552804,111.13000000000002,58.366203116984806,45.95000000000001,46.04865912808368,53.56
1,2,17,18,45.23846174831961,8.650000000000002,59.34308181605608,54.87999999999999,45.706755889911484,-54.35000000000001
1,2,18,19,44.77824061715176,-26.400000000000006,59.34330605268945,54.84999999999999,43.54674343097312,-87.75
1,2,19,20,43.76412435348961,130.43,60.404204365298476,-38.559999999999995,41.76388705699549,152.98000000000002
1,2,20,21,44.96280787177459,80.52000000000001,45.57740130448222,241.27000000000004,39.28672357222957,-237.42000000000004
1,2,21,22,45.333792153248574,14.350000000000001,55.87139650855928,70.94,45.477753681019564,-45.76000000000002
1,2,22,23,33.2069952089672,-350.09000000000003,56.152577370065295,-76.58,41.45216799742148,-182.57999999999998
1,2,23,24,40.30075549448481,238.99,56.94597445867595,65.21000000000001,40.90511669506224,170.27
1,2,24,25,45.08449768715694,71.81,59.299125437044594,53.54,46.3116393120913,12.530000000000003
1,2,25,26,43.92184242002717,-62.19000000000001,25.818143377532788,991.95,24.85335754026928,925.26
1,2,26,27,43.614370527582494,137.57,54.04632430292578,95.24000000000001,43.74863316931864,-102.78
1,2,27,28,44.50668185859353,103.91,59.06211784650187,61.96,22.370774705527293,-2212.1899999999996
1,2,28,29,44.18702981356746,-52.68999999999999,56.660922933949124,38.040000000000006,43.34151374319222,-96.33999999999999
1,2,29,30,45.31291455130672,3.600000000000001,57.45608764496113,4.740000000000001,44.98984384942099,-3.7600000000000007
1,2,0,30,82.01363641546112,29.170000000000005,89.80372306018992,-21.610000000000003,82.79842993884282,24.020000000000003
1,3,0,1,56.77862682313164,176.09000000000003,65.9957224694581,78.89,57.06997064067076,120.74000000000001
1,3,1,2,70.7019278137502,-39.00000000000001,67.35109463341037,71.76,49.70630689999436,-111.46000000000002
1,3,2,3,72.34143626350208,37.940000000000005,67.45762962643047,70.97,57.35274455883579,-37.33000000000001
1,3,3,4,71.63316890025165,45.81000000000001,67.42027951032286,71.25000000000001,65.78708963262059,-21.090000000000003
1,3,4,5,73.17992319004507,-3.8400000000000003,45.57261583184059,13.12,48.74186323155339,3.810000000000001
1,3,5,6,68.72824982132944,78.14,50.593496875471104,45.23000000000001,64.73893111208689,37.10000000000001
1,3,6,7,73.05389126161764,19.19,56.648239870750416,-15.270000000000003,56.01667109239281,14.690000000000003
1,3,7,8,73.24703782154512,-0.0,45.32436145813583,-0.0,46.38947315872476,0.0
1,3,8,9,72.82157386278789,-12.220000000000002,25.942012837656474,1192.0000000000002,26.23614098651646,-1267.01
1,3,9,10,73.21574078740434,-2.0400000000000005,56.875336269147816,36.81000000000001,62.36005738244656,-30.190000000000005
1,3,10,11,68.58244425622736,-57.14999999999999,45.42705727283004,4.05,47.035819936350606,-62.32
1,3,11,12,72.7396158016609,-13.700000000000003,56.85590804831562,38.03000000000001,51.44021145209684,-45.18
1,3,12,13,70.07068707729725,63.47,60.15896746801877,95.56,57.3615885749198,-37.53000000000001
1,3,13,14,71.54420245801256,-30.060000000000006,64.11308290096079,-62.1,63.69354640113111,29.180000000000003
1,3,14,15,70.32262555047353,-42.23000000000001,63.3556959899634,-70.12000000000002,62.4821910254879,61.919999999999995
1,3,15,16,69.35360352296715,-51.199999999999996,67.36035387621317,71.69000000000001,63.905555386071576,-68.16000000000001
1,3,16,17,73.0301969549512,22.35000000000001,60.14477189850689,95.77,62.65866121482808,-78.62
1,3,17,18,73.02415414186942,20.830000000000002,45.29315754630262,55.57000000000001,57.3338260695982,-36.50000000000001
1,3,18,19,71.19545161515684,51.39999999999999,65.96102645167403,79.19000000000001,62.47749878690374,62.15000000000002
1,3,19,20,72.91063745011613,13.890000000000002,62.68787025599306,30.750000000000007,46.618190151081706,-13.900000000000002
1,3,20,21,72.96547758936853,22.420000000000005,62.59079637346689,28.200000000000003,46.47010670759724,-3.94
1,3,21,22,73.3243954673469,5.690000000000001,62.5803379025998,28.790000000000006,51.46959483578176,-43.75999999999999
1,3,22,23,66.8550407859189,-70.86,50.56710542051598,46.31000000000001,44.781240475260304,-121.10000000000001
1,3,23,24,73.15379540369896,-4.670000000000002,58.67012121156494,-20.010000000000005,54.492032682868285,12.470000000000002
1,3,24,25,66.40747781959996,97.25,59.14048880924147,-20.78000000000001,59.16356039163209,103.33
1,3,25,26,68.52363276429026,79.79,43.125288943387915,217.58,60.49282121862469,89.33
1,3,26,27,73.35620736403489,4.9,62.58096828311048,28.76000000000001,65.78394565674216,-21.180000000000003
1,3,27,28,70.86176988011549,-37.44,63.2971006376923,-70.99000000000001,64.6698893019992,37.650000000000006
1,3,28,29,70.35521451500672,60.589999999999996,45.59197760826991,12.76,63.13905840312455,53.92999999999999
1,3,29,30,23.37810229276597,2212.1899999999996,23.194896706857328,2212.1899999999996,51.6419216093805,8.33999999999998
1,3,0,30,93.78508439199769,12.510000000000003,92.17957866197109,18.330000000000016,91.42107636429154,-18.330000000000016
1,4,0,1,62.41006399128123,138.21000000000004,60.5654428266555,145.57,64.57173758045526,20.740000000000002
1,4,1,2,69.50339283339535,-40.150000000000006,59.86329853307254,-79.07000000000001,63.78959345732933,37.92
1,4,2,3,75.04276785940472,13.790000000000003,59.817143503257576,-79.44,59.187088929199916,95.77999999999999
1,4,3,4,74.87307139211119,26.580000000000005,64.76814304695566,-25.000000000000004,63.097546580144545,47.24000000000001
1,4,4,5,74.28319938582545,38.650000000000006,60.19233295946208,147.28000000000003,60.46641337067348,-121.41000000000001
1,4,5,6,74.39766935607399,36.63000000000001,66.58732329553096,70.84,65.81911924541689,-29.890000000000008
1,4,6,7,75.0877148968568,18.590000000000003,66.99654292800753,29.660000000000007,65.86416522009591,-11.840000000000002
1,4,7,8,74.41151710323854,36.37,66.99895032948339,29.590000000000003,65.54061947236379,4.0200000000000005
1,4,8,9,74.86908031874154,3.540000000000001,65.45285174984963,5.000000000000001,64.93370524341512,-4.700000000000001
1,4,9,10,74.20843379587646,-7.170000000000001,66.9700684181432,30.650000000000002,65.77955770962608,-30.650000000000002
1,4,10,11,73.50498745870817,-16.010000000000005,66.63957991704268,62.7,62.73416517875619,-79.33999999999999
1,4,11,12,69.85069931662181,-37.610000000000014,64.35501909408823,-29.370000000000008,65.96757206452075,-12.780000000000001
1,4,12,13,74.86979891745035,25.300000000000008,53.83352759614789,-136.5,54.82991167429447,136.5
1,4,13,14,74.8892661398067,4.120000000000001,63.80568851087885,112.27000000000001,61.0477096796438,-104.35
1,4,14,15,71.80968738889604,-21.530000000000005,66.84545007311246,37.71000000000001,65.96738002846432,-12.76
1,4,15,16,74.9128956273224,4.86,26.721508849457376,-937.69,65.85283121026234,-12.200000000000003
1,4,16,17,74.2357262435923,39.30000000000001,66.71298890537697,13.000000000000002,65.5246571439396,4.29
1,4,17,18,75.0371851648019,15.74,66.57452308070924,12.190000000000003,65.3581565848493,12.240000000000002
1,4,18,19,74.79627842252408,28.580000000000005,66.97399383187357,30.570000000000007,65.8560185379026,-8.330000000000002
1,4,19,20,74.80011168161892,28.360000000000007,66.83588987118301,37.95,65.78138146150017,-30.600000000000005
1,4,20,21,74.5706192431622,34.08000000000001,66.84201022035921,37.87,64.92795512743528,-4.159999999999999
1,4,21,22,74.05118285247826,-10.330000000000002,67.40822278808929,20.110000000000003,66.4353530721095,-21.220000000000002
1,4,22,23,71.58062190921825,-23.320000000000007,65.46931182845115,-12.450000000000001,65.85358884990704,-12.310000000000002
1,4,23,24,73.34127350970157,-18.370000000000005,43.35515543857079,342.14000000000004,32.665924283668204,-585.5300000000001
